Operacja;Czas (ms)
Wynik20;1208.0523
Wynik20;1253.7976
Wynik20;1232.1813
Wynik20;1233.6721
Wynik20;1211.8591
Wynik20;1193.3269
Wynik20;1218.8454
Wynik20;1197.5039
Wynik20;1202.2529
Wynik20;1365.6551
Wynik20;1305.9254
Wynik20;1344.7038
Wynik20;1375.3372
Wynik20;1344.6752
Wynik20;1321.9447
Wynik20;1283.3171
Wynik20;898.2387
Wynik20;1349.7143
Wynik20;1318.8042
Wynik20;1298.2694
Wynik20;1253.4665
Wynik20;1377.4364
Wynik20;1216.8097
Wynik20;1267.2432
Wynik20;1316.7207
Wynik20;1264.3529
Wynik20;1309.9124
Wynik20;1291.3205
Wynik20;1212.4899
Wynik20;1261.5232
Wynik20;1203.8419
Wynik20;1228.8896
Wynik20;1193.3856
Wynik20;1189.653
Wynik20;1182.2042
Wynik20;1203.8328
Wynik20;1194.2176
Wynik20;1199.7695
Wynik20;1217.5239
Wynik20;1199.5256
Wynik20;1188.95
Wynik11;7.2819
Wynik11;3.5918
Wynik11;3.4657
Wynik11;3.3494
Wynik11;3.5571
Wynik11;3.412
Wynik11;2.5301
Wynik11;2.6705
Wynik11;2.4995
Wynik11;2.4959
Wynik11;165.9136
Wynik11;172.016
Wynik11;188.8343
Wynik11;165.0794
Wynik11;168.049
Wynik11;170.7112
Wynik11;172.7177
Wynik11;170.0423
Wynik11;176.8124
Wynik11;171.503
Wynik30;33586.2757
Wynik30;33662.4064
